exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-27SEP19-10000-P,2019-08-31 23:59:53.674,2019-09-01 00:00:00.253743,put,10000,2019-09-27 08:00:00,505.1,0.111,0.1065,18.4,79.72,0.1115,6.0,84.39,0.10913568,82.18,BTC-27SEP19,9644.37,-0.52141,0.00019,10.31964,-16.10243,-4.38733
deribit,BTC-13SEP19-9500-C,2019-08-31 23:59:57.676,2019-09-01 00:00:00.254625,call,9500,2019-09-13 08:00:00,15.7,0.065,0.0605,6.0,74.08,0.0695,29.0,86.51,0.06481239,80.04,SYN.BTC-13SEP19,9621.67,0.56358,0.00028,6.96612,-22.60395,1.62158
deribit,BTC-6SEP19-9500-C,2019-08-31 23:59:59.943,2019-09-01 00:00:00.253277,call,9500,2019-09-06 08:00:00,289.1,0.0475,0.0415,24.0,73.98,0.0455,2.0,82.39,0.04356635,78.31,SYN.BTC-6SEP19,9610.44,0.56727,0.00043,4.56849,-33.54147,0.73543
deribit,BTC-6SEP19-9500-C,2019-09-01 00:00:00.665,2019-09-01 00:00:00.673463,call,9500,2019-09-06 08:00:00,289.1,0.0475,0.041,18.0,72.93,0.0455,2.0,82.39,0.04356635,78.31,SYN.BTC-6SEP19,9610.44,0.56727,0.00043,4.56849,-33.54147,0.73543
deribit,BTC-27SEP19-10000-P,2019-09-01 00:00:23.971,2019-09-01 00:00:23.983136,put,10000,2019-09-27 08:00:00,505.1,0.111,0.107,14.4,80.03,0.1115,6.0,84.23,0.10925477,82.08,BTC-27SEP19,9641.85,-0.522,0.00019,10.3161,-16.0781,-4.39079
deribit,BTC-13SEP19-9500-C,2019-09-01 00:00:24.053,2019-09-01 00:00:24.065452,call,9500,2019-09-13 08:00:00,15.7,0.065,0.0605,1.0,74.17,0.069,18.0,85.91,0.06475544,80.05,SYN.BTC-13SEP19,9620.41,0.56323,0.00028,6.9662,-22.60818,1.62041
deribit,BTC-13SEP19-9500-C,2019-09-01 00:00:24.160,2019-09-01 00:00:24.169333,call,9500,2019-09-13 08:00:00,15.7,0.065,0.0605,1.0,74.17,0.0685,5.0,85.22,0.06475544,80.05,SYN.BTC-13SEP19,9620.41,0.56323,0.00028,6.9662,-22.60818,1.62041
deribit,BTC-13SEP19-9500-C,2019-09-01 00:00:49.043,2019-09-01 00:00:49.056071,call,9500,2019-09-13 08:00:00,15.7,0.065,0.06,6.0,73.86,0.069,29.0,86.29,0.06458926,80.2,SYN.BTC-13SEP19,9615.16,0.56176,0.00028,6.96629,-22.65087,1.61521
deribit,BTC-6SEP19-9500-C,2019-09-01 00:00:49.089,2019-09-01 00:00:49.099013,call,9500,2019-09-06 08:00:00,289.1,0.0475,0.041,24.0,73.72,0.045,1.0,82.13,0.04330207,78.56,SYN.BTC-6SEP19,9603.6,0.56423,0.00043,4.57079,-33.66764,0.7309
deribit,BTC-13SEP19-9500-C,2019-09-01 00:04:05.227,2019-09-01 00:04:05.238849,call,9500,2019-09-13 08:00:00,15.7,0.065,0.061,5.0,74.57,0.069,5.0,85.62,0.06500072,80.1,SYN.BTC-13SEP19,9624.6,0.56439,0.00028,6.96515,-22.62265,1.62374
