exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-2AUG19-10000-C,2019-07-31 23:59:54.683,2019-08-01 00:00:00.346866,call,10000,2019-08-02 08:00:00,454.0,0.0295,0.029,20.8,100.54,0.032,15.0,113.18,0.03048381,106.79,SYN.BTC-2AUG19,10092.75,0.56958,0.0006,2.39645,-95.97271,0.19876
deribit,BTC-9AUG19-10000-C,2019-07-31 23:59:57.426,2019-08-01 00:00:00.345555,call,10000,2019-08-09 08:00:00,122.9,0.0655,0.064,17.1,97.77,0.0675,2.4,103.64,0.06513032,99.67,SYN.BTC-9AUG19,10106.66,0.55794,0.00026,6.02793,-36.04708,1.13714
deribit,BTC-30AUG19-10000-C,2019-07-31 23:59:57.430,2019-08-01 00:00:00.346481,call,10000,2019-08-30 08:00:00,159.4,0.112,0.115,10.0,96.08,0.118,2.7,98.78,0.11614784,97.11,SYN.BTC-30AUG19,10148.39,0.5758,0.00014,11.26956,-18.65458,3.74881
deribit,BTC-2AUG19-10000-C,2019-08-01 00:00:00.406,2019-08-01 00:00:00.420534,call,10000,2019-08-02 08:00:00,454.0,0.0295,0.029,20.8,100.46,0.0315,15.0,110.99,0.03051076,106.74,SYN.BTC-2AUG19,10093.12,0.56983,0.0006,2.39628,-95.9132,0.19885
deribit,BTC-30AUG19-10000-C,2019-08-01 00:00:08.186,2019-08-01 00:00:08.200533,call,10000,2019-08-30 08:00:00,159.4,0.112,0.115,10.0,95.97,0.1185,3.1,99.12,0.11627153,97.09,SYN.BTC-30AUG19,10150.98,0.57615,0.00014,11.27048,-18.65118,3.75194
deribit,BTC-2AUG19-10000-C,2019-08-01 00:00:09.520,2019-08-01 00:00:09.537630,call,10000,2019-08-02 08:00:00,454.0,0.0295,0.0295,1.7,102.08,0.032,15.0,112.62,0.03062158,106.81,SYN.BTC-2AUG19,10095.25,0.57108,0.0006,2.39542,-95.94607,0.19931
deribit,BTC-9AUG19-10000-C,2019-08-01 00:00:10.673,2019-08-01 00:00:10.686565,call,10000,2019-08-09 08:00:00,122.9,0.0655,0.064,17.6,97.48,0.068,2.8,104.19,0.06526047,99.6,SYN.BTC-9AUG19,10110.17,0.55885,0.00026,6.02798,-36.02256,1.13933
deribit,BTC-30AUG19-10000-C,2019-08-01 00:00:20.022,2019-08-01 00:00:20.029756,call,10000,2019-08-30 08:00:00,159.4,0.112,0.1155,10.0,96.34,0.1185,2.9,99.04,0.11637177,97.12,SYN.BTC-30AUG19,10153.07,0.57646,0.00014,11.27112,-18.65845,3.75411
deribit,BTC-9AUG19-10000-C,2019-08-01 00:00:20.031,2019-08-01 00:00:20.060956,call,10000,2019-08-09 08:00:00,122.9,0.0655,0.0645,15.0,98.28,0.068,2.6,104.15,0.0653333,99.67,SYN.BTC-9AUG19,10110.74,0.559,0.00026,6.02798,-36.04688,1.13958
deribit,BTC-2AUG19-10000-C,2019-08-01 00:00:22.946,2019-08-01 00:00:22.959091,call,10000,2019-08-02 08:00:00,454.0,0.0295,0.0295,20.9,101.39,0.0325,20.0,114.04,0.03078566,106.7,SYN.BTC-2AUG19,10098.28,0.57295,0.0006,2.39407,-95.78875,0.20001
deribit,BTC-2AUG19-10000-C,2019-08-01 00:00:27.211,2019-08-01 00:00:27.218205,call,10000,2019-08-02 08:00:00,454.0,0.0295,0.03,1.6,102.71,0.0325,20.0,113.27,0.03097157,106.57,SYN.BTC-2AUG19,10101.73,0.57509,0.0006,2.39245,-95.61362,0.20081
deribit,BTC-30AUG19-10000-C,2019-08-01 00:00:34.223,2019-08-01 00:00:34.239270,call,10000,2019-08-30 08:00:00,159.4,0.112,0.1155,10.0,96.07,0.119,2.8,99.23,0.11666958,97.16,SYN.BTC-30AUG19,10159.51,0.57737,0.00014,11.27303,-18.6693,3.76115
deribit,BTC-9AUG19-10000-C,2019-08-01 00:00:34.234,2019-08-01 00:00:34.250062,call,10000,2019-08-09 08:00:00,122.9,0.0655,0.0645,17.3,97.76,0.0685,2.5,104.47,0.06564156,99.73,SYN.BTC-9AUG19,10117.06,0.56063,0.00026,6.02773,-36.07246,1.14318
deribit,BTC-9AUG19-10000-C,2019-08-01 00:00:38.770,2019-08-01 00:00:38.780988,call,10000,2019-08-09 08:00:00,122.9,0.0655,0.065,2.0,98.5,0.0685,43.3,104.37,0.0657022,99.68,SYN.BTC-9AUG19,10118.29,0.56095,0.00026,6.02772,-36.05408,1.14398
