exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-31MAY19-5250-C,2019-04-30 23:59:53.956,2019-05-01 00:00:00.360929,call,5250,2019-05-31 08:00:00,98.7,0.0615,0.0605,42.2,51.26,0.0645,0.3,54.75,0.06757437,57.44,index_price,5267.77,0.5411,0.00045,6.02612,-5.70568,2.07298
deribit,BTC-10MAY19-5250-C,2019-04-30 23:59:59.618,2019-05-01 00:00:00.374276,call,5250,2019-05-10 08:00:00,105.1,0.0345,0.0345,8.0,51.33,0.0375,6.1,56.05,0.03911194,58.58,index_price,5268.89,0.53394,0.00081,3.34908,-10.51066,0.66668
deribit,BTC-3MAY19-5250-C,2019-04-30 23:59:59.650,2019-05-01 00:00:00.360657,call,5250,2019-05-03 08:00:00,325.2,0.017,0.017,16.2,47.5,0.0195,23.5,55.38,0.01951957,55.45,index_price,5269.06,0.54138,0.0017,1.67163,-19.86077,0.17578
deribit,BTC-10MAY19-5250-C,2019-05-01 00:00:27.616,2019-05-01 00:00:27.629382,call,5250,2019-05-10 08:00:00,105.1,0.0345,0.0345,13.9,51.32,0.038,23.2,56.82,0.03911745,58.58,index_price,5268.96,0.534,0.00081,3.34908,-10.51039,0.66676
deribit,BTC-31MAY19-5250-C,2019-05-01 00:00:29.662,2019-05-01 00:00:29.671881,call,5250,2019-05-31 08:00:00,98.7,0.0615,0.0605,49.1,51.15,0.065,0.3,55.08,0.06768747,57.41,index_price,5269.19,0.54173,0.00045,6.02674,-5.70322,2.07591
deribit,BTC-10MAY19-5250-C,2019-05-01 00:00:57.679,2019-05-01 00:00:57.688730,call,5250,2019-05-10 08:00:00,105.1,0.0345,0.035,8.0,51.98,0.038,64.7,56.7,0.03916494,58.53,index_price,5269.83,0.5347,0.00081,3.34901,-10.50163,0.6677
deribit,BTC-10MAY19-5250-C,2019-05-01 00:01:15.612,2019-05-01 00:01:15.629627,call,5250,2019-05-10 08:00:00,105.1,0.0345,0.035,8.0,51.95,0.0375,5.6,55.89,0.0392137,58.58,index_price,5269.97,0.53481,0.00081,3.34901,-10.5106,0.66781
deribit,BTC-3MAY19-5250-C,2019-05-01 00:08:19.979,2019-05-01 00:08:19.993490,call,5250,2019-05-03 08:00:00,325.2,0.017,0.0175,5.7,48.56,0.0195,5.2,54.88,0.01973161,55.51,index_price,5270.87,0.54445,0.0017,1.66882,-19.89789,0.1764
deribit,BTC-3MAY19-5250-C,2019-05-01 00:08:19.999,2019-05-01 00:08:20.019911,call,5250,2019-05-03 08:00:00,325.2,0.017,0.0175,5.7,48.56,0.02,24.1,56.46,0.01973161,55.51,index_price,5270.87,0.54445,0.0017,1.66882,-19.89789,0.1764
deribit,BTC-31MAY19-5250-C,2019-05-01 00:08:51.283,2019-05-01 00:08:51.291887,call,5250,2019-05-31 08:00:00,98.7,0.0615,0.0605,62.1,50.93,0.0655,7.8,55.31,0.06786103,57.37,index_price,5271.92,0.54295,0.00045,6.02727,-5.70098,2.08107
deribit,BTC-10MAY19-5250-C,2019-05-01 00:11:17.625,2019-05-01 00:11:17.640240,call,5250,2019-05-10 08:00:00,105.1,0.0345,0.035,14.1,51.4,0.0385,23.0,56.92,0.03954263,58.56,index_price,5273.79,0.53788,0.0008,3.34783,-10.51091,0.67149
deribit,BTC-31MAY19-5250-C,2019-05-01 00:11:17.900,2019-05-01 00:11:17.916292,call,5250,2019-05-31 08:00:00,98.7,0.0615,0.061,6.8,51.22,0.0655,7.7,55.16,0.06800344,57.31,index_price,5273.79,0.54378,0.00046,6.0279,-5.69598,2.0849
deribit,BTC-3MAY19-5250-C,2019-05-01 00:17:45.961,2019-05-01 00:17:45.973940,call,5250,2019-05-03 08:00:00,325.2,0.017,0.018,4.9,47.34,0.02,5.2,53.71,0.0205831,55.57,index_price,5279.72,0.55944,0.00169,1.66089,-19.88324,0.1809
deribit,BTC-3MAY19-5250-C,2019-05-01 00:17:45.986,2019-05-01 00:17:45.998818,call,5250,2019-05-03 08:00:00,325.2,0.017,0.018,4.9,47.34,0.0205,9.8,55.3,0.0205831,55.57,index_price,5279.72,0.55944,0.00169,1.66089,-19.88324,0.1809
deribit,BTC-10MAY19-5250-C,2019-05-01 00:17:49.470,2019-05-01 00:17:49.487812,call,5250,2019-05-10 08:00:00,105.1,0.0345,0.0355,6.2,51.3,0.0385,41.8,56.04,0.04008358,58.53,index_price,5279.76,0.54268,0.0008,3.34665,-10.50826,0.67764
