exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-31JAN20-7000-C,2020-01-01 00:04:07.478,2020-01-01 00:04:50.356437,call,7000,2020-01-31 08:00:00,242.2,0.074,0.0765,14.5,54.48,0.0805,34.9,58.08,0.07899393,56.76,SYN.BTC-31JAN20,7198.64,0.5998,0.00033,8.01804,-7.50195,3.11513
deribit,BTC-31JAN20-7000-C,2020-01-01 00:05:18.356,2020-01-01 00:05:18.380835,call,7000,2020-01-31 08:00:00,242.2,0.074,0.0765,14.5,54.56,0.08,14.5,57.7,0.07890464,56.85,SYN.BTC-31JAN20,7197.44,0.59935,0.00033,8.01904,-7.51475,3.11185
deribit,BTC-31JAN20-7000-C,2020-01-01 00:21:00.022,2020-01-01 00:21:00.031380,call,7000,2020-01-31 08:00:00,242.2,0.074,0.076,14.5,54.23,0.08,39.9,57.82,0.07874375,56.69,SYN.BTC-31JAN20,7195.84,0.59893,0.00033,8.01801,-7.49615,3.10926
deribit,BTC-31JAN20-7000-C,2020-01-01 00:21:00.031,2020-01-01 00:21:00.040489,call,7000,2020-01-31 08:00:00,242.2,0.074,0.0745,14.4,52.88,0.08,39.9,57.82,0.07874375,56.69,SYN.BTC-31JAN20,7195.84,0.59893,0.00033,8.01801,-7.49615,3.10926
deribit,BTC-31JAN20-7000-C,2020-01-01 00:21:00.048,2020-01-01 00:21:00.056868,call,7000,2020-01-31 08:00:00,242.2,0.074,0.075,14.5,53.33,0.08,39.9,57.82,0.07874375,56.69,SYN.BTC-31JAN20,7195.84,0.59893,0.00033,8.01801,-7.49615,3.10926
deribit,BTC-31JAN20-7000-C,2020-01-01 00:21:00.325,2020-01-01 00:21:00.333282,call,7000,2020-01-31 08:00:00,242.2,0.074,0.0755,14.5,53.78,0.08,39.9,57.82,0.07874526,56.69,SYN.BTC-31JAN20,7195.84,0.59893,0.00033,8.01801,-7.49615,3.10926
deribit,BTC-31JAN20-7000-C,2020-01-01 00:52:59.918,2020-01-01 00:52:59.927196,call,7000,2020-01-31 08:00:00,242.2,0.074,0.076,14.5,54.36,0.0805,39.9,58.4,0.07866502,56.75,SYN.BTC-31JAN20,7194.16,0.59835,0.00033,8.01618,-7.50775,3.1033
deribit,BTC-31JAN20-7000-C,2020-01-01 00:53:02.739,2020-01-01 00:53:02.749899,call,7000,2020-01-31 08:00:00,242.2,0.074,0.076,14.5,54.37,0.0795,14.5,57.51,0.07866576,56.76,SYN.BTC-31JAN20,7193.99,0.59829,0.00033,8.01631,-7.50939,3.10285
deribit,BTC-10JAN20-7250-C,2020-01-01 02:52:30.235,2020-01-01 02:52:43.851921,call,7250,2020-01-10 08:00:00,214.0,0.029,0.027,17.5,44.74,0.03,26.1,49.48,0.02893617,47.8,SYN.BTC-10JAN20,7229.54,0.5003,0.00073,4.58225,-11.88707,0.86017
deribit,BTC-10JAN20-7250-C,2020-01-01 02:52:46.164,2020-01-01 02:52:46.172347,call,7250,2020-01-10 08:00:00,214.0,0.029,0.0275,0.1,45.49,0.03,26.1,49.43,0.0289299,47.74,SYN.BTC-10JAN20,7229.95,0.50057,0.00073,4.58251,-11.87361,0.86072
deribit,BTC-10JAN20-7250-C,2020-01-01 03:00:01.878,2020-01-01 03:00:01.887100,call,7250,2020-01-10 08:00:00,214.3,0.03,0.03,4.7,49.25,0.0305,18.0,50.04,0.02903573,47.73,SYN.BTC-10JAN20,7231.83,0.50192,0.00073,4.58244,-11.87637,0.86275
deribit,BTC-10JAN20-7250-C,2020-01-01 03:00:04.651,2020-01-01 03:00:04.659825,call,7250,2020-01-10 08:00:00,217.2,0.03,0.0275,0.1,45.3,0.0305,43.8,50.03,0.02904207,47.73,SYN.BTC-10JAN20,7231.9,0.50197,0.00073,4.58249,-11.87712,0.86285
deribit,BTC-10JAN20-7250-C,2020-01-01 03:01:54.979,2020-01-01 03:01:54.994783,call,7250,2020-01-10 08:00:00,217.2,0.03,0.027,0.1,44.72,0.0305,43.8,50.24,0.02893479,47.77,SYN.BTC-10JAN20,7229.91,0.50054,0.00073,4.58093,-11.88477,0.86007
deribit,BTC-10JAN20-7250-C,2020-01-01 15:38:51.618,2020-01-01 15:38:51.625990,call,7250,2020-01-10 08:00:00,218.2,0.0265,0.0255,38.0,43.35,0.028,1.0,47.41,0.02774247,46.85,SYN.BTC-10JAN20,7232.43,0.50101,0.00076,4.44977,-12.007,0.81426
