exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-10JUL20-9000-C,2020-06-30 23:59:52.537,2020-07-01 00:00:00.238222,call,9000,2020-07-10 08:00:00,320.3,0.042,0.0375,28.5,45.92,0.04,0.8,49.96,0.03826568,47.16,SYN.BTC-10JUL20,9142.25,0.59703,0.00056,5.65888,-14.29561,1.30625
deribit,BTC-31JUL20-9000-C,2020-06-30 23:59:52.658,2020-07-01 00:00:00.180466,call,9000,2020-07-31 08:00:00,368.5,0.07,0.0665,19.3,50.42,0.0695,20.2,53.08,0.06787678,51.64,SYN.BTC-31JUL20,9158.46,0.576,0.00029,10.34114,-8.80236,3.86742
deribit,BTC-31JUL20-9250-C,2020-06-30 23:59:52.661,2020-07-01 00:00:00.162068,call,9250,2020-07-31 08:00:00,93.5,0.054,0.052,40.2,49.23,0.055,24.4,51.84,0.05358194,50.61,SYN.BTC-31JUL20,9158.46,0.50191,0.0003,10.53273,-8.78647,3.41226
deribit,BTC-2JUL20-9125-C,2020-06-30 23:59:57.883,2020-07-01 00:00:00.182291,call,9125,2020-07-02 08:00:00,35.6,0.01,0.01,48.0,38.87,0.012,30.0,47.18,0.01072988,41.93,SYN.BTC-2JUL20,9136.36,0.52462,0.00172,2.19876,-34.57638,0.17151
deribit,BTC-1JUL20-9125-C,2020-06-30 23:59:57.883,2020-07-01 00:00:00.238807,call,9125,2020-07-01 08:00:00,44.7,0.007,0.0045,18.4,32.31,0.0065,27.8,48.99,0.00563499,41.86,SYN.BTC-1JUL20,9135.59,0.53903,0.00344,1.09611,-22.93916,0.0445
deribit,BTC-10JUL20-9000-C,2020-07-01 00:00:30.245,2020-07-01 00:00:30.254759,call,9000,2020-07-10 08:00:00,320.3,0.042,0.0375,49.5,45.93,0.0395,0.1,49.16,0.03828023,47.2,SYN.BTC-10JUL20,9142.14,0.59691,0.00056,5.65925,-14.3103,1.3059
deribit,BTC-10JUL20-9000-C,2020-07-01 00:00:41.723,2020-07-01 00:00:41.735832,call,9000,2020-07-10 08:00:00,320.3,0.042,0.0375,49.4,45.91,0.0405,41.8,50.75,0.0383044,47.21,SYN.BTC-10JUL20,9142.39,0.59704,0.00056,5.65872,-14.31203,1.3061
deribit,BTC-2JUL20-9125-C,2020-07-01 00:00:57.306,2020-07-01 00:00:57.370136,call,9125,2020-07-02 08:00:00,35.6,0.01,0.0095,61.0,37.86,0.012,43.0,48.24,0.01053655,42.04,SYN.BTC-2JUL20,9131.81,0.51678,0.00172,2.19934,-34.69237,0.1688
deribit,BTC-31JUL20-9000-C,2020-07-01 00:00:59.591,2020-07-01 00:00:59.598682,call,9000,2020-07-31 08:00:00,368.5,0.07,0.0665,18.9,50.68,0.069,1.5,52.9,0.06772493,51.73,SYN.BTC-31JUL20,9153.15,0.57445,0.00029,10.34279,-8.81918,3.85476
deribit,BTC-2JUL20-9125-C,2020-07-01 00:01:00.335,2020-07-01 00:01:00.358246,call,9125,2020-07-02 08:00:00,35.6,0.01,0.0095,61.0,38.11,0.0115,30.0,46.41,0.01045896,42.04,SYN.BTC-2JUL20,9130.71,0.51489,0.00172,2.19949,-34.68896,0.16816
