exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-13NOV20-13750-C,2020-10-31 23:59:54.288,2020-11-01 00:00:00.222417,call,13750,2020-11-13 08:00:00,186.9,0.044,0.043,19.0,54.14,0.045,1.2,56.89,0.04313201,54.33,SYN.BTC-13NOV20,13842.84,0.5467,0.00029,10.08185,-22.20501,2.35541
deribit,BTC-2NOV20-13750-C,2020-10-31 23:59:55.955,2020-11-01 00:00:00.190979,call,13750,2020-11-02 08:00:00,3.6,0.0155,0.0135,18.0,46.77,0.0165,25.0,59.35,0.0144065,50.57,SYN.BTC-2NOV20,13808.58,0.56135,0.00093,3.29008,-62.39009,0.27589
deribit,BTC-6NOV20-13750-C,2020-10-31 23:59:56.969,2020-11-01 00:00:00.143977,call,13750,2020-11-06 08:00:00,653.7,0.031,0.0295,13.2,55.85,0.0315,0.2,60.02,0.03037591,57.66,SYN.BTC-6NOV20,13820.86,0.54324,0.00041,6.62578,-35.81691,1.03573
deribit,BTC-20NOV20-13750-C,2020-10-31 23:59:58.804,2020-11-01 00:00:00.228407,call,13750,2020-11-20 08:00:00,35.9,0.056,0.0535,15.8,53.9,0.056,1.0,56.65,0.05445235,54.95,SYN.BTC-20NOV20,13864.71,0.55129,0.00023,12.62462,-17.94123,3.64869
deribit,BTC-27NOV20-14000-C,2020-10-31 23:59:59.491,2020-11-01 00:00:00.191034,call,14000,2020-11-27 08:00:00,2394.8,0.0595,0.058,0.8,57.68,0.0605,17.2,60.01,0.05829019,57.95,SYN.BTC-27NOV20,13886.64,0.51021,0.00018,14.8755,-16.36788,4.52764
deribit,BTC-2NOV20-13750-C,2020-11-01 00:00:04.209,2020-11-01 00:00:04.234582,call,13750,2020-11-02 08:00:00,3.6,0.0155,0.013,18.4,44.95,0.0165,25.4,59.62,0.01434915,50.54,SYN.BTC-2NOV20,13806.9,0.5598,0.00094,3.29165,-62.38964,0.27511
deribit,BTC-13NOV20-13750-C,2020-11-01 00:00:04.248,2020-11-01 00:00:04.254896,call,13750,2020-11-13 08:00:00,186.9,0.044,0.0425,19.0,53.53,0.045,1.2,56.96,0.04308156,54.3,SYN.BTC-13NOV20,13841.47,0.54631,0.00029,10.08202,-22.19609,2.35366
deribit,BTC-13NOV20-13750-C,2020-11-01 00:00:05.556,2020-11-01 00:00:05.559536,call,13750,2020-11-13 08:00:00,186.9,0.044,0.0425,19.0,53.55,0.0445,1.0,56.3,0.04306565,54.3,SYN.BTC-13NOV20,13840.98,0.54616,0.00029,10.08207,-22.19515,2.35301
deribit,BTC-6NOV20-13750-C,2020-11-01 00:00:07.768,2020-11-01 00:00:07.776668,call,13750,2020-11-06 08:00:00,653.7,0.031,0.029,19.0,55.03,0.0315,1.1,60.25,0.03026066,57.66,SYN.BTC-6NOV20,13817.92,0.54203,0.00041,6.62654,-35.82225,1.03329
deribit,BTC-2NOV20-13750-C,2020-11-01 00:00:08.539,2020-11-01 00:00:08.688931,call,13750,2020-11-02 08:00:00,3.6,0.0155,0.013,18.0,45.25,0.016,0.4,57.83,0.01426797,50.53,SYN.BTC-2NOV20,13805.07,0.5581,0.00094,3.29331,-62.40086,0.27426
