exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-30APR21-60000-C,2021-04-01 00:00:03.357,2021-04-01 00:00:03.366695,call,60000,2021-04-30 08:00:00,1722.1,0.0941,0.092,0.7,76.08,0.0945,25.4,78.33,0.09298258,76.99,BTC-30APR21,60792.99,0.56721,3e-05,67.77586,-88.93949,23.16811
deribit,BTC-2APR21-59000-C,2021-04-01 00:00:04.457,2021-04-01 00:00:04.473577,call,59000,2021-04-02 08:00:00,230.8,0.021,0.016,1.7,64.39,0.017,3.5,68.54,0.01650229,66.55,BTC-2APR21,59056.55,0.51752,0.00017,14.22597,-355.0351,1.08081
deribit,BTC-16APR21-60000-C,2021-04-01 00:00:04.623,2021-04-01 00:00:04.631535,call,60000,2021-04-16 08:00:00,365.5,0.0615,0.061,12.9,74.99,0.063,21.7,77.45,0.06080336,74.78,SYN.BTC-16APR21,59966.62,0.5291,4e-05,48.90286,-119.24415,11.79652
deribit,BTC-2APR21-59000-C,2021-04-01 00:00:07.408,2021-04-01 00:00:07.425915,call,59000,2021-04-02 08:00:00,230.8,0.021,0.016,1.7,64.46,0.0175,4.0,70.69,0.01649677,66.55,BTC-2APR21,59054.52,0.51718,0.00017,14.22601,-355.0359,1.08008
deribit,BTC-16APR21-60000-C,2021-04-01 00:00:12.652,2021-04-01 00:00:12.657824,call,60000,2021-04-16 08:00:00,365.5,0.0615,0.061,13.0,74.93,0.0625,18.0,76.77,0.06086246,74.77,SYN.BTC-16APR21,59972.96,0.52937,4e-05,48.90559,-119.2391,11.8035
deribit,BTC-30APR21-60000-C,2021-04-01 00:00:29.129,2021-04-01 00:00:29.131764,call,60000,2021-04-30 08:00:00,1722.1,0.0941,0.092,0.7,76.1,0.094,25.0,77.89,0.0930025,77.0,BTC-30APR21,60791.01,0.56716,3e-05,67.77529,-88.95084,23.1648
deribit,BTC-30APR21-60000-C,2021-04-01 00:00:54.414,2021-04-01 00:00:54.524120,call,60000,2021-04-30 08:00:00,1722.1,0.0941,0.0925,0.8,76.35,0.0945,0.4,78.14,0.09322683,77.0,BTC-30APR21,60819.58,0.568,3e-05,67.78149,-88.96407,23.20554
deribit,BTC-30APR21-60000-C,2021-04-01 00:00:54.920,2021-04-01 00:00:54.926147,call,60000,2021-04-30 08:00:00,1722.1,0.0941,0.0925,0.8,76.36,0.095,0.4,78.6,0.09322683,77.0,BTC-30APR21,60818.1,0.56796,3e-05,67.78113,-88.96366,23.2034
deribit,BTC-16APR21-60000-C,2021-04-01 00:00:58.716,2021-04-01 00:00:58.724560,call,60000,2021-04-16 08:00:00,365.5,0.0615,0.061,12.8,74.67,0.0635,21.7,77.73,0.06111752,74.81,SYN.BTC-16APR21,60001.04,0.5306,4e-05,48.91598,-119.3366,11.83317
deribit,BTC-16APR21-60000-C,2021-04-01 00:01:07.539,2021-04-01 00:01:07.560861,call,60000,2021-04-16 08:00:00,365.5,0.0615,0.0615,0.4,75.3,0.0635,21.7,77.75,0.06109273,74.8,SYN.BTC-16APR21,59999.35,0.53052,4e-05,48.91534,-119.31341,11.83147
deribit,BTC-2APR21-59000-C,2021-04-01 00:01:07.719,2021-04-01 00:01:07.785650,call,59000,2021-04-02 08:00:00,230.8,0.021,0.016,1.9,63.0,0.018,4.0,71.32,0.01685917,66.57,BTC-2APR21,59095.97,0.52413,0.00017,14.21944,-355.17794,1.0945
deribit,BTC-30APR21-60000-C,2021-04-01 00:01:08.494,2021-04-01 00:01:08.503654,call,60000,2021-04-30 08:00:00,1722.1,0.0941,0.093,0.7,76.78,0.095,25.0,78.57,0.0932537,77.01,BTC-30APR21,60822.08,0.56808,3e-05,67.78204,-88.97245,23.20887
