exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-5FEB21-33000-C,2021-01-31 23:59:59.351,2021-02-01 00:00:00.196052,call,33000,2021-02-05 08:00:00,229.1,0.045,0.0485,17.0,105.43,0.0515,42.9,112.37,0.04954083,107.85,SYN.BTC-5FEB21,33183.75,0.54221,0.0001,14.34366,-178.49567,1.94092
deribit,BTC-1FEB21-33000-C,2021-01-31 23:59:59.356,2021-02-01 00:00:00.234981,call,33000,2021-02-01 08:00:00,65.7,0.011,0.013,25.4,89.82,0.014,0.5,98.23,0.01453014,102.71,SYN.BTC-1FEB21,33137.04,0.55924,0.00038,3.95088,-202.90041,0.16484
deribit,BTC-26FEB21-34000-C,2021-02-01 00:00:00.050,2021-02-01 00:00:00.209848,call,34000,2021-02-26 08:00:00,695.8,0.105,0.1085,20.0,110.62,0.112,27.4,113.97,0.1102812,112.33,SYN.BTC-26FEB21,33428.94,0.53614,4e-05,34.99009,-77.57227,9.88072
deribit,BTC-2FEB21-33000-C,2021-02-01 00:00:00.166,2021-02-01 00:00:00.200434,call,33000,2021-02-02 08:00:00,80.4,0.026,0.0265,31.0,100.57,0.0295,27.7,113.07,0.02854035,109.09,SYN.BTC-2FEB21,33148.72,0.54029,0.00018,7.95202,-325.31116,0.61968
deribit,BTC-19FEB21-34000-C,2021-02-01 00:00:00.213,2021-02-01 00:00:00.235196,call,34000,2021-02-19 08:00:00,10.0,0.087,0.09,19.0,110.47,0.0925,42.4,113.27,0.09132724,111.96,SYN.BTC-19FEB21,33347.21,0.51922,5e-05,29.781,-90.93569,7.16707
deribit,BTC-2FEB21-33000-C,2021-02-01 00:00:00.867,2021-02-01 00:00:00.883343,call,33000,2021-02-02 08:00:00,80.4,0.026,0.027,15.0,102.66,0.0295,27.7,113.08,0.02854488,109.09,SYN.BTC-2FEB21,33148.58,0.54027,0.00018,7.95204,-325.31664,0.61965
deribit,BTC-19FEB21-34000-C,2021-02-01 00:00:00.998,2021-02-01 00:00:01.004020,call,34000,2021-02-19 08:00:00,10.0,0.087,0.09,19.0,110.48,0.092,15.0,112.72,0.09133028,111.96,SYN.BTC-19FEB21,33346.78,0.5192,5e-05,29.7807,-90.9346,7.16673
deribit,BTC-2FEB21-33000-C,2021-02-01 00:00:01.094,2021-02-01 00:00:01.117149,call,33000,2021-02-02 08:00:00,80.4,0.026,0.027,15.0,102.66,0.029,0.1,111.0,0.02854488,109.09,SYN.BTC-2FEB21,33148.58,0.54027,0.00018,7.95204,-325.31664,0.61965
deribit,BTC-5FEB21-33000-C,2021-02-01 00:00:01.173,2021-02-01 00:00:01.178710,call,33000,2021-02-05 08:00:00,229.1,0.045,0.0485,17.0,105.44,0.051,0.1,111.22,0.04954525,107.85,SYN.BTC-5FEB21,33183.56,0.54219,0.0001,14.34365,-178.49742,1.94085
deribit,BTC-26FEB21-34000-C,2021-02-01 00:00:01.181,2021-02-01 00:00:01.185382,call,34000,2021-02-26 08:00:00,695.8,0.105,0.1085,20.0,110.63,0.1115,0.1,113.5,0.11028421,112.33,SYN.BTC-26FEB21,33428.39,0.53612,4e-05,34.98969,-77.57135,9.88021
deribit,BTC-2FEB21-33000-C,2021-02-01 00:00:02.722,2021-02-01 00:00:02.741724,call,33000,2021-02-02 08:00:00,80.4,0.026,0.0265,31.0,100.78,0.029,0.1,111.2,0.02847991,109.08,SYN.BTC-2FEB21,33145.38,0.53968,0.00018,7.95244,-325.30753,0.61895
deribit,BTC-26FEB21-34000-C,2021-02-01 00:00:02.922,2021-02-01 00:00:02.952772,call,34000,2021-02-26 08:00:00,695.8,0.105,0.109,1.0,111.15,0.1115,1.1,113.54,0.11022255,112.33,SYN.BTC-26FEB21,33424.64,0.53597,4e-05,34.98698,-77.56466,9.87672
deribit,BTC-5FEB21-33000-C,2021-02-01 00:00:11.830,2021-02-01 00:00:11.850134,call,33000,2021-02-05 08:00:00,229.1,0.045,0.048,17.0,104.5,0.051,0.1,111.44,0.04945328,107.86,SYN.BTC-5FEB21,33177.21,0.54155,0.0001,14.34336,-178.51198,1.93828
deribit,BTC-26FEB21-34000-C,2021-02-01 00:00:23.523,2021-02-01 00:00:23.532740,call,34000,2021-02-26 08:00:00,695.8,0.105,0.1085,20.0,110.83,0.111,0.1,113.21,0.1100714,112.33,SYN.BTC-26FEB21,33412.18,0.53547,4e-05,34.97787,-77.54566,9.86509
deribit,BTC-5FEB21-33000-C,2021-02-01 00:00:23.792,2021-02-01 00:00:23.799149,call,33000,2021-02-05 08:00:00,229.1,0.045,0.048,17.0,104.85,0.0505,0.1,110.63,0.04932572,107.87,SYN.BTC-5FEB21,33167.1,0.54052,0.0001,14.34282,-178.51315,1.93422
deribit,BTC-26FEB21-34000-C,2021-02-01 00:00:23.797,2021-02-01 00:00:23.801598,call,34000,2021-02-26 08:00:00,695.8,0.105,0.1085,20.0,110.84,0.1105,0.1,112.75,0.1100714,112.33,SYN.BTC-26FEB21,33410.77,0.53541,4e-05,34.97684,-77.54329,9.86379
deribit,BTC-26FEB21-34000-C,2021-02-01 00:00:24.014,2021-02-01 00:00:24.021311,call,34000,2021-02-26 08:00:00,695.8,0.105,0.109,1.0,111.32,0.1105,0.1,112.75,0.1100714,112.33,SYN.BTC-26FEB21,33410.77,0.53541,4e-05,34.97684,-77.54329,9.86379
deribit,BTC-19FEB21-34000-C,2021-02-01 00:00:24.880,2021-02-01 00:00:24.883274,call,34000,2021-02-19 08:00:00,10.0,0.087,0.0895,19.0,110.17,0.092,42.4,112.97,0.09109364,111.95,SYN.BTC-19FEB21,33329.02,0.51835,5e-05,29.76784,-90.88612,7.15259
