exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-4JUN21-37000-C,2021-06-01 00:00:01.864,2021-06-01 00:00:01.875507,call,37000,2021-06-04 08:00:00,212.6,0.038,0.0395,18.4,92.18,0.042,23.5,98.8,0.04084624,95.7,BTC-4JUN21,37324.78,0.55618,0.00012,14.08852,-202.23838,1.75665
deribit,BTC-11JUN21-37000-C,2021-06-01 00:00:02.027,2021-06-01 00:00:02.056166,call,37000,2021-06-11 08:00:00,107.9,0.0695,0.067,18.0,93.87,0.0695,23.0,97.63,0.06841867,95.97,BTC-11JUN21,37315.84,0.55305,7e-05,24.82642,-115.28983,5.12002
deribit,BTC-2JUN21-37000-C,2021-06-01 00:00:02.028,2021-06-01 00:00:02.039804,call,37000,2021-06-02 08:00:00,2.9,0.029,0.0255,16.0,88.51,0.0275,18.1,96.93,0.02668992,93.45,SYN.BTC-2JUN21,37298.9,0.56777,0.00019,8.86343,-310.596,0.73725
deribit,BTC-18JUN21-38000-C,2021-06-01 00:00:02.814,2021-06-01 00:00:02.822866,call,38000,2021-06-18 08:00:00,109.4,0.067,0.0725,20.6,92.33,0.075,15.0,95.2,0.07393902,93.98,SYN.BTC-18JUN21,37356.61,0.50759,5e-05,32.47084,-88.02977,7.69302
deribit,BTC-2JUN21-37000-C,2021-06-01 00:00:04.886,2021-06-01 00:00:04.894201,call,37000,2021-06-02 08:00:00,2.9,0.029,0.0255,16.0,88.86,0.027,0.1,95.17,0.02658995,93.44,SYN.BTC-2JUN21,37293.24,0.56671,0.00019,8.86611,-310.68339,0.73582
deribit,BTC-18JUN21-38000-C,2021-06-01 00:00:07.365,2021-06-01 00:00:07.383320,call,38000,2021-06-18 08:00:00,109.4,0.067,0.072,45.5,91.86,0.075,18.0,95.32,0.07384039,93.98,SYN.BTC-18JUN21,37348.2,0.50715,5e-05,32.46419,-88.01095,7.68524
deribit,BTC-2JUN21-37000-C,2021-06-01 00:00:09.646,2021-06-01 00:00:09.657750,call,37000,2021-06-02 08:00:00,2.9,0.029,0.025,42.2,87.32,0.027,3.1,95.73,0.02645847,93.43,SYN.BTC-2JUN21,37283.91,0.56498,0.00019,8.87039,-310.79107,0.73345
deribit,BTC-4JUN21-37000-C,2021-06-01 00:00:10.820,2021-06-01 00:00:10.835685,call,37000,2021-06-04 08:00:00,212.6,0.038,0.0395,3.0,92.78,0.0415,24.6,98.08,0.04063906,95.7,BTC-4JUN21,37308.17,0.55426,0.00012,14.09177,-202.28786,1.75009
deribit,BTC-11JUN21-37000-C,2021-06-01 00:00:12.638,2021-06-01 00:00:12.646091,call,37000,2021-06-11 08:00:00,107.9,0.0695,0.067,3.0,94.26,0.069,20.0,97.27,0.06814878,95.97,BTC-11JUN21,37295.72,0.55173,7e-05,24.82395,-115.27521,5.10608
deribit,BTC-11JUN21-37000-C,2021-06-01 00:00:21.174,2021-06-01 00:00:21.182579,call,37000,2021-06-11 08:00:00,107.9,0.0695,0.0665,18.0,93.9,0.069,23.0,97.65,0.06795418,95.97,BTC-11JUN21,37275.93,0.55043,7e-05,24.82125,-115.2637,5.09235
deribit,BTC-1JUN21-37000-C,2021-06-01 00:00:22.968,2021-06-01 00:00:23.002967,call,37000,2021-06-01 08:00:00,39.1,0.015,0.014,3.0,86.19,0.0155,0.1,99.03,0.01486094,93.57,SYN.BTC-1JUN21,37246.5,0.5983,0.00037,4.35342,-203.68016,0.19846
deribit,BTC-2JUN21-37000-C,2021-06-01 00:00:22.972,2021-06-01 00:00:23.005337,call,37000,2021-06-02 08:00:00,2.9,0.029,0.025,12.8,88.79,0.0265,0.1,95.09,0.02610215,93.42,SYN.BTC-2JUN21,37259.79,0.56046,0.00019,8.88069,-311.11662,0.72731
deribit,BTC-4JUN21-37000-C,2021-06-01 00:00:24.813,2021-06-01 00:00:24.825017,call,37000,2021-06-04 08:00:00,212.6,0.038,0.039,18.0,92.2,0.0415,51.6,98.81,0.04032473,95.7,BTC-4JUN21,37287.95,0.55191,0.00012,14.09529,-202.34564,1.7421
deribit,BTC-18JUN21-38000-C,2021-06-01 00:00:25.633,2021-06-01 00:00:25.679908,call,38000,2021-06-18 08:00:00,109.4,0.067,0.0715,45.0,91.67,0.075,60.6,95.7,0.07350422,93.98,SYN.BTC-18JUN21,37319.53,0.50565,5e-05,32.44123,-87.9443,7.65873
deribit,BTC-2JUN21-37000-C,2021-06-01 00:00:25.699,2021-06-01 00:00:25.747661,call,37000,2021-06-02 08:00:00,2.9,0.029,0.0245,34.4,86.54,0.0265,0.1,94.93,0.0261384,93.42,SYN.BTC-2JUN21,37262.36,0.56095,0.00019,8.87964,-311.06942,0.72797
deribit,BTC-1JUN21-37000-C,2021-06-01 00:00:25.739,2021-06-01 00:00:25.786537,call,37000,2021-06-01 08:00:00,39.1,0.015,0.0135,3.0,81.57,0.0155,17.1,98.73,0.01489664,93.57,SYN.BTC-1JUN21,37248.77,0.59913,0.00037,4.35134,-203.58392,0.19874
deribit,BTC-18JUN21-38000-C,2021-06-01 00:00:25.756,2021-06-01 00:00:25.805981,call,38000,2021-06-18 08:00:00,109.4,0.067,0.0715,45.0,91.67,0.0745,15.0,95.12,0.07350422,93.98,SYN.BTC-18JUN21,37319.53,0.50565,5e-05,32.44123,-87.9443,7.65873
deribit,BTC-4JUN21-37000-C,2021-06-01 00:00:26.300,2021-06-01 00:00:26.323827,call,37000,2021-06-04 08:00:00,212.6,0.038,0.039,3.0,92.39,0.041,21.0,97.68,0.04034702,95.71,BTC-4JUN21,37282.85,0.55132,0.00012,14.09609,-202.36077,1.74009
deribit,BTC-11JUN21-37000-C,2021-06-01 00:00:26.303,2021-06-01 00:00:26.324728,call,37000,2021-06-11 08:00:00,107.9,0.0695,0.0665,3.0,94.06,0.0685,20.0,97.06,0.06781967,95.97,BTC-11JUN21,37267.48,0.54988,7e-05,24.82002,-115.25819,5.08649
deribit,BTC-2JUN21-37000-C,2021-06-01 00:00:26.549,2021-06-01 00:00:26.571527,call,37000,2021-06-02 08:00:00,2.9,0.029,0.0245,16.4,86.95,0.026,0.1,93.24,0.02604127,93.42,SYN.BTC-2JUN21,37255.58,0.55968,0.00019,8.88237,-311.16227,0.72624
deribit,BTC-1JUN21-37000-C,2021-06-01 00:00:27.179,2021-06-01 00:00:27.227433,call,37000,2021-06-01 08:00:00,39.1,0.015,0.013,3.0,78.65,0.0155,17.1,100.06,0.01478969,93.57,SYN.BTC-1JUN21,37238.68,0.59543,0.00037,4.36043,-204.00906,0.19748
deribit,BTC-4JUN21-37000-C,2021-06-01 00:00:28.645,2021-06-01 00:00:28.663603,call,37000,2021-06-04 08:00:00,212.6,0.038,0.0385,3.0,91.77,0.041,24.5,98.38,0.04007225,95.71,BTC-4JUN21,37263.35,0.54906,0.00012,14.09889,-202.4012,1.73238
deribit,BTC-18JUN21-38000-C,2021-06-01 00:00:28.696,2021-06-01 00:00:28.714466,call,38000,2021-06-18 08:00:00,109.4,0.067,0.071,45.6,91.37,0.0745,38.0,95.39,0.07326798,93.98,SYN.BTC-18JUN21,37299.3,0.50459,5e-05,32.42475,-87.89788,7.64002
deribit,BTC-2JUN21-37000-C,2021-06-01 00:00:28.804,2021-06-01 00:00:28.843529,call,37000,2021-06-02 08:00:00,2.9,0.029,0.024,33.3,85.59,0.026,0.1,93.98,0.02586642,93.42,SYN.BTC-2JUN21,37243.32,0.55738,0.00019,8.88707,-311.3367,0.72311
deribit,BTC-1JUN21-37000-C,2021-06-01 00:00:29.091,2021-06-01 00:00:29.096083,call,37000,2021-06-01 08:00:00,39.1,0.015,0.013,3.0,79.81,0.015,0.1,96.92,0.01460794,93.58,SYN.BTC-1JUN21,37230.24,0.59232,0.00037,4.36776,-204.35814,0.19642
deribit,BTC-11JUN21-37000-C,2021-06-01 00:00:29.294,2021-06-01 00:00:29.298287,call,37000,2021-06-11 08:00:00,107.9,0.0695,0.066,18.0,93.92,0.0685,23.1,97.67,0.06763055,95.97,BTC-11JUN21,37236.19,0.54782,7e-05,24.81502,-115.23349,5.06477
deribit,BTC-4JUN21-37000-C,2021-06-01 00:00:30.543,2021-06-01 00:00:30.555043,call,37000,2021-06-04 08:00:00,212.6,0.038,0.0385,3.0,92.31,0.0405,21.0,97.59,0.03978665,95.71,BTC-4JUN21,37248.5,0.54733,0.00012,14.10071,-202.43103,1.7265
