exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-19MAR21-46000-C,2021-02-28 23:59:59.973,2021-03-01 00:00:00.023344,call,46000,2021-03-19 08:00:00,220.2,0.0905,0.0915,20.0,106.98,0.094,30.6,109.78,0.09227269,107.85,SYN.BTC-19MAR21,45598.34,0.5337,4e-05,40.62379,-119.48519,10.11004
deribit,BTC-1MAR21-45000-C,2021-02-28 23:59:59.996,2021-03-01 00:00:00.041952,call,45000,2021-03-01 08:00:00,74.1,0.0145,0.015,3.0,100.32,0.0185,18.0,129.81,0.01687981,116.18,SYN.BTC-1MAR21,45248.09,0.56913,0.00025,5.37301,-312.1115,0.2282
deribit,BTC-19MAR21-46000-C,2021-03-01 00:00:00.240,2021-03-01 00:00:00.252488,call,46000,2021-03-19 08:00:00,220.2,0.0905,0.091,20.0,106.42,0.094,30.6,109.78,0.09227269,107.85,SYN.BTC-19MAR21,45598.34,0.5337,4e-05,40.62379,-119.48519,10.11004
deribit,BTC-19MAR21-46000-C,2021-03-01 00:00:00.294,2021-03-01 00:00:00.300450,call,46000,2021-03-19 08:00:00,220.2,0.0905,0.091,20.0,106.42,0.0935,10.2,109.22,0.09227269,107.85,SYN.BTC-19MAR21,45598.34,0.5337,4e-05,40.62379,-119.48519,10.11004
deribit,BTC-1MAR21-45000-C,2021-03-01 00:00:00.954,2021-03-01 00:00:00.962428,call,45000,2021-03-01 08:00:00,74.1,0.0145,0.015,3.0,99.44,0.018,15.0,124.75,0.01698226,116.18,SYN.BTC-1MAR21,45256.44,0.57119,0.00025,5.36901,-311.88394,0.22906
deribit,BTC-2MAR21-45000-C,2021-03-01 00:00:03.005,2021-03-01 00:00:03.029043,call,45000,2021-03-02 08:00:00,34.8,0.0275,0.0285,16.0,107.1,0.0305,10.2,115.45,0.02951704,111.34,SYN.BTC-2MAR21,45240.88,0.54498,0.00013,10.83908,-452.56567,0.85187
deribit,BTC-2MAR21-45000-C,2021-03-01 00:00:06.527,2021-03-01 00:00:06.581203,call,45000,2021-03-02 08:00:00,34.8,0.0275,0.029,15.0,109.25,0.0305,10.2,115.51,0.02950239,111.34,SYN.BTC-2MAR21,45239.45,0.54479,0.00013,10.83931,-452.58299,0.85156
deribit,BTC-12MAR21-46000-C,2021-03-01 00:00:09.377,2021-03-01 00:00:09.385127,call,46000,2021-03-12 08:00:00,86.3,0.0775,0.0695,18.0,107.61,0.072,11.7,111.17,0.07031142,108.76,BTC-12MAR21,45388.91,0.51039,5e-05,31.89665,-153.04299,6.20221
deribit,BTC-12MAR21-46000-C,2021-03-01 00:00:10.214,2021-03-01 00:00:10.232398,call,46000,2021-03-12 08:00:00,86.3,0.0775,0.0695,18.0,107.6,0.0715,1.0,110.45,0.07030678,108.76,BTC-12MAR21,45389.37,0.51041,5e-05,31.89692,-153.04508,6.2025
deribit,BTC-19MAR21-46000-C,2021-03-01 00:00:14.036,2021-03-01 00:00:14.067345,call,46000,2021-03-19 08:00:00,220.2,0.0905,0.0915,20.0,107.03,0.0935,15.0,109.28,0.09222128,107.84,SYN.BTC-19MAR21,45593.21,0.53351,4e-05,40.62083,-119.4734,10.10582
deribit,BTC-2MAR21-45000-C,2021-03-01 00:00:14.397,2021-03-01 00:00:14.421382,call,45000,2021-03-02 08:00:00,34.8,0.0275,0.0295,15.0,111.16,0.0305,10.2,115.34,0.02954674,111.36,SYN.BTC-2MAR21,45243.19,0.54527,0.00013,10.83871,-452.60949,0.85235
deribit,BTC-1MAR21-45000-C,2021-03-01 00:00:14.568,2021-03-01 00:00:14.595519,call,45000,2021-03-01 08:00:00,74.1,0.0145,0.0155,15.0,104.4,0.0185,18.0,129.66,0.01684515,116.2,SYN.BTC-1MAR21,45249.51,0.56947,0.00025,5.37236,-312.12536,0.22834
deribit,BTC-12MAR21-46000-C,2021-03-01 00:00:16.184,2021-03-01 00:00:16.192519,call,46000,2021-03-12 08:00:00,86.3,0.0775,0.07,18.0,108.18,0.072,11.4,111.02,0.07040847,108.76,BTC-12MAR21,45399.39,0.51087,5e-05,31.90298,-153.07757,6.20898
deribit,BTC-2MAR21-45000-C,2021-03-01 00:00:18.577,2021-03-01 00:00:18.585175,call,45000,2021-03-02 08:00:00,34.8,0.0275,0.0295,15.0,110.0,0.031,16.5,116.27,0.029721,111.37,SYN.BTC-2MAR21,45267.54,0.54844,0.00013,10.83435,-452.47798,0.85758
