exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-8OCT21-43000-C,2021-10-01 00:00:01.836,2021-10-01 00:00:01.850100,call,43000,2021-10-08 08:00:00,576.7,0.0485,0.0495,7.8,71.04,0.0515,17.2,74.67,0.05092672,73.72,BTC-8OCT21,43793.15,0.58985,8e-05,24.13321,-121.30007,4.74137
deribit,BTC-29OCT21-45000-C,2021-10-01 00:00:01.837,2021-10-01 00:00:01.852979,call,45000,2021-10-29 08:00:00,1232.8,0.0805,0.0805,3.0,81.84,0.0815,7.3,82.74,0.08065315,82.01,BTC-29OCT21,43960.42,0.50476,4e-05,48.85886,-70.70718,14.47159
deribit,BTC-22OCT21-44000-C,2021-10-01 00:00:01.838,2021-10-01 00:00:01.856054,call,44000,2021-10-22 08:00:00,0.6,0.066,0.074,16.8,77.91,0.0765,2.9,80.51,0.07526512,79.23,SYN.BTC-22OCT21,43901.47,0.5335,5e-05,42.19271,-78.34871,11.75792
deribit,BTC-15OCT21-44000-C,2021-10-01 00:00:01.840,2021-10-01 00:00:01.863579,call,44000,2021-10-15 08:00:00,466.8,0.056,0.056,20.0,72.98,0.058,4.4,75.51,0.05750044,74.89,SYN.BTC-15OCT21,43845.35,0.52013,6e-05,34.61845,-90.43497,7.96533
deribit,BTC-8OCT21-44000-C,2021-10-01 00:00:05.864,2021-10-01 00:00:05.879066,call,44000,2021-10-08 08:00:00,547.2,0.0392,0.037,15.5,69.42,0.0385,3.6,72.07,0.03811269,71.38,BTC-8OCT21,43791.93,0.50149,9e-05,24.76312,-120.52454,4.077
deribit,BTC-8OCT21-43000-C,2021-10-01 00:00:12.699,2021-10-01 00:00:12.709007,call,43000,2021-10-08 08:00:00,576.7,0.0485,0.049,40.4,70.24,0.0515,17.2,74.78,0.05091065,73.71,BTC-8OCT21,43788.15,0.58943,8e-05,24.13639,-121.30869,4.73768
deribit,BTC-29OCT21-45000-C,2021-10-01 00:01:02.112,2021-10-01 00:01:02.118985,call,45000,2021-10-29 08:00:00,1232.8,0.0805,0.081,0.1,82.45,0.0815,0.1,82.9,0.08054237,82.05,BTC-29OCT21,43942.75,0.50411,4e-05,48.83952,-70.71857,14.44721
deribit,BTC-22OCT21-44000-C,2021-10-01 00:01:02.635,2021-10-01 00:01:02.641885,call,44000,2021-10-22 08:00:00,0.6,0.066,0.074,16.8,77.98,0.077,8.8,81.1,0.07520295,79.23,SYN.BTC-22OCT21,43895.02,0.5332,5e-05,42.18851,-78.34847,11.74966
deribit,BTC-15OCT21-44000-C,2021-10-01 00:01:02.645,2021-10-01 00:01:02.653454,call,44000,2021-10-15 08:00:00,466.8,0.056,0.056,20.0,72.96,0.0585,7.0,76.12,0.05746876,74.82,SYN.BTC-15OCT21,43847.28,0.52021,6e-05,34.61878,-90.35562,7.96731
deribit,BTC-8OCT21-44000-C,2021-10-01 00:01:03.400,2021-10-01 00:01:03.408827,call,44000,2021-10-08 08:00:00,547.2,0.0392,0.037,11.9,69.11,0.039,15.8,72.64,0.03824679,71.31,BTC-8OCT21,43808.51,0.50295,9e-05,24.77082,-120.45607,4.08977
