exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-10SEP21-47000-C,2021-09-01 00:00:00.006,2021-09-01 00:00:00.027643,call,47000,2021-09-10 08:00:00,9.2,0.055,0.051,1.5,76.2,0.0525,24.0,78.56,0.05147459,76.93,BTC-10SEP21,47236.38,0.54074,7e-05,29.97689,-123.5403,5.90976
deribit,BTC-10SEP21-47000-C,2021-09-01 00:00:00.643,2021-09-01 00:00:00.681254,call,47000,2021-09-10 08:00:00,9.2,0.055,0.0505,29.0,75.41,0.0525,24.0,78.56,0.05146584,76.93,BTC-10SEP21,47236.38,0.54074,7e-05,29.97689,-123.5403,5.90976
deribit,BTC-3SEP21-47000-C,2021-09-01 00:00:00.738,2021-09-01 00:00:00.802271,call,47000,2021-09-03 08:00:00,210.5,0.023,0.024,1.2,69.29,0.0255,13.2,74.01,0.02476433,71.69,BTC-3SEP21,47178.56,0.53777,0.00015,14.98113,-230.14725,1.54721
deribit,BTC-24SEP21-46000-C,2021-09-01 00:00:00.743,2021-09-01 00:00:00.778207,call,46000,2021-09-24 08:00:00,895.6,0.104,0.0955,28.1,80.58,0.0985,25.5,83.65,0.0970942,82.21,BTC-24SEP21,47393.33,0.59773,4e-05,46.36272,-81.67613,15.16795
deribit,BTC-17SEP21-46000-C,2021-09-01 00:00:00.784,2021-09-01 00:00:00.840411,call,46000,2021-09-17 08:00:00,13.1,0.0875,0.08,5.4,78.4,0.083,4.9,82.07,0.08093287,79.53,SYN.BTC-17SEP21,47314.59,0.59933,5e-05,38.68563,-94.18358,10.97606
deribit,BTC-10SEP21-47000-C,2021-09-01 00:00:01.876,2021-09-01 00:00:01.883965,call,47000,2021-09-10 08:00:00,9.2,0.055,0.05,34.4,74.66,0.0525,24.0,78.6,0.0514732,76.93,BTC-10SEP21,47233.95,0.54057,7e-05,29.97663,-123.53963,5.90776
deribit,BTC-2SEP21-47000-C,2021-09-01 00:00:01.892,2021-09-01 00:00:01.900156,call,47000,2021-09-02 08:00:00,85.0,0.0155,0.0185,3.9,69.86,0.0195,13.1,74.03,0.01866068,70.45,SYN.BTC-2SEP21,47153.96,0.53907,0.0002,11.31518,-298.94374,0.89645
deribit,BTC-2SEP21-47000-C,2021-09-01 00:00:04.831,2021-09-01 00:00:04.853020,call,47000,2021-09-02 08:00:00,85.0,0.0155,0.018,20.7,68.01,0.0195,13.1,74.26,0.01862006,70.45,SYN.BTC-2SEP21,47148.88,0.53807,0.0002,11.31673,-298.96992,0.89472
deribit,BTC-24SEP21-48000-C,2021-09-01 00:00:07.831,2021-09-01 00:00:07.851961,call,48000,2021-09-24 08:00:00,1474.5,0.0745,0.076,3.0,81.21,0.0775,6.9,82.7,0.0766947,81.9,BTC-24SEP21,47388.01,0.51658,4e-05,47.75791,-83.81367,13.32566
deribit,BTC-1SEP21-47000-C,2021-09-01 00:00:07.833,2021-09-01 00:00:07.847235,call,47000,2021-09-01 08:00:00,81.5,0.01,0.0085,0.1,58.92,0.01,13.0,71.5,0.00912194,64.1,SYN.BTC-1SEP21,47125.05,0.55838,0.00043,5.62046,-180.13458,0.23638
deribit,BTC-24SEP21-46000-C,2021-09-01 00:00:10.918,2021-09-01 00:00:10.958305,call,46000,2021-09-24 08:00:00,895.6,0.104,0.0955,29.6,80.68,0.098,20.0,83.23,0.09702847,82.21,BTC-24SEP21,47384.64,0.59739,4e-05,46.36429,-81.6734,15.1578
deribit,BTC-24SEP21-46000-C,2021-09-01 00:00:14.327,2021-09-01 00:00:14.357044,call,46000,2021-09-24 08:00:00,895.6,0.104,0.096,20.0,81.18,0.098,4.0,83.22,0.09702087,82.2,BTC-24SEP21,47385.38,0.59742,4e-05,46.36415,-81.67154,15.15874
deribit,BTC-3SEP21-47000-C,2021-09-01 00:00:24.139,2021-09-01 00:00:24.157583,call,47000,2021-09-03 08:00:00,210.5,0.023,0.024,1.2,69.83,0.025,9.0,72.97,0.02462618,71.68,BTC-3SEP21,47162.81,0.53546,0.00015,14.98414,-230.16234,1.54025
deribit,BTC-2SEP21-47000-C,2021-09-01 00:00:24.198,2021-09-01 00:00:24.201567,call,47000,2021-09-02 08:00:00,85.0,0.0155,0.018,16.7,68.5,0.019,0.1,72.66,0.01850147,70.42,SYN.BTC-2SEP21,47138.38,0.536,0.0002,11.3197,-298.91513,0.89117
deribit,BTC-24SEP21-48000-C,2021-09-01 00:00:24.306,2021-09-01 00:00:24.332386,call,48000,2021-09-24 08:00:00,1474.5,0.0745,0.0755,22.0,80.81,0.0775,6.9,82.79,0.07663169,81.9,BTC-24SEP21,47377.39,0.51615,4e-05,47.74932,-83.80133,13.31258
deribit,BTC-3SEP21-47000-C,2021-09-01 00:00:24.331,2021-09-01 00:00:24.367118,call,47000,2021-09-03 08:00:00,210.5,0.023,0.0235,18.1,68.25,0.025,13.0,72.97,0.02462618,71.68,BTC-3SEP21,47162.81,0.53546,0.00015,14.98414,-230.16234,1.54025
deribit,BTC-17SEP21-46000-C,2021-09-01 00:00:26.038,2021-09-01 00:00:26.045222,call,46000,2021-09-17 08:00:00,13.1,0.0875,0.08,4.0,78.58,0.0825,6.0,81.64,0.08078195,79.52,SYN.BTC-17SEP21,47301.34,0.59869,5e-05,38.69084,-94.18329,10.96272
deribit,BTC-17SEP21-46000-C,2021-09-01 00:00:27.490,2021-09-01 00:00:27.541400,call,46000,2021-09-17 08:00:00,13.1,0.0875,0.0795,4.0,77.99,0.083,10.9,82.26,0.08076666,79.52,SYN.BTC-17SEP21,47300.07,0.59863,5e-05,38.69133,-94.18375,10.96143
deribit,BTC-1SEP21-47000-C,2021-09-01 00:00:27.721,2021-09-01 00:00:27.727340,call,47000,2021-09-01 08:00:00,81.5,0.01,0.0085,0.1,60.39,0.0095,9.0,68.75,0.00894197,64.09,SYN.BTC-1SEP21,47110.11,0.55192,0.00043,5.63143,-180.45257,0.2336
deribit,BTC-1SEP21-47000-C,2021-09-01 00:00:28.543,2021-09-01 00:00:28.552318,call,47000,2021-09-01 08:00:00,81.5,0.01,0.008,15.1,56.35,0.0095,9.0,68.9,0.00894197,64.09,SYN.BTC-1SEP21,47108.53,0.55124,0.00043,5.6325,-180.48196,0.23331
deribit,BTC-17SEP21-46000-C,2021-09-01 00:00:44.430,2021-09-01 00:00:44.444569,call,46000,2021-09-17 08:00:00,13.1,0.0875,0.0795,5.3,78.02,0.0825,6.0,81.69,0.08072118,79.51,SYN.BTC-17SEP21,47297.64,0.59851,5e-05,38.69142,-94.18373,10.9586
deribit,BTC-10SEP21-47000-C,2021-09-01 00:00:58.425,2021-09-01 00:00:58.448733,call,47000,2021-09-10 08:00:00,9.2,0.055,0.0505,1.4,75.89,0.052,20.0,78.25,0.05116149,76.93,BTC-10SEP21,47207.3,0.53875,7e-05,29.97229,-123.53746,5.88532
deribit,BTC-24SEP21-48000-C,2021-09-01 00:00:58.663,2021-09-01 00:00:58.679412,call,48000,2021-09-24 08:00:00,1474.5,0.0745,0.0755,3.1,81.04,0.077,6.0,82.53,0.07639006,81.9,BTC-24SEP21,47352.72,0.51515,4e-05,47.72845,-83.76801,13.28183
deribit,BTC-10SEP21-47000-C,2021-09-01 00:01:11.066,2021-09-01 00:01:11.116310,call,47000,2021-09-10 08:00:00,9.2,0.055,0.05,30.6,75.29,0.052,24.0,78.44,0.05104249,76.93,BTC-10SEP21,47195.57,0.53795,7e-05,29.97067,-123.52509,5.87566
deribit,BTC-24SEP21-46000-C,2021-09-01 00:01:11.386,2021-09-01 00:01:11.392259,call,46000,2021-09-24 08:00:00,895.6,0.104,0.0955,1.0,81.07,0.0975,20.0,83.11,0.09660317,82.2,BTC-24SEP21,47348.5,0.59597,4e-05,46.36985,-81.67861,15.1146
deribit,BTC-3SEP21-47000-C,2021-09-01 00:01:13.268,2021-09-01 00:01:13.346004,call,47000,2021-09-03 08:00:00,210.5,0.023,0.023,23.1,68.12,0.025,13.2,74.41,0.02415526,71.69,BTC-3SEP21,47120.73,0.52926,0.00015,14.98749,-230.30323,1.52114
